record_id,canonical_id,node_family,node_type,execution_role,task_id,runtime_figure_id,manuscript_figure_id,code_entry,schema_source,dependencies,edge_semantics,expected_outputs,evidence_paths,artifact_seed_dirs,authority_tier,provenance_link,conclusion_status,result_statements,task_conclusion_zh,limitations,source_audit
task-011,fig2.pair_trial_specs,fig2,DAG Task,producer,pair_trial_specs,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task pair_trial_specs,src/experiments/paper_figures/fig2/schemas.py,[],[],"[""配对试验与候选池规格""]","[""results/multi_seed_rollout/fig2/fig2_pair_fused_stsp_state/seed_*/data/intermediates/pair_trial_specs/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",pair_trial_specs 的配对试验与候选池规格已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-012,fig2.state_bank,fig2,DAG Task,producer,state_bank,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task state_bank,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs""]","[""requires""]","[""配对经历后的多层状态库""]","[""results/multi_seed_rollout/fig2/fig2_pair_fused_stsp_state/seed_*/data/intermediates/state_bank/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",state_bank 的配对经历后的多层状态库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-013,fig2.crossfit_split_specs,fig2,DAG Task,producer,crossfit_split_specs,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task crossfit_split_specs,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs""]","[""requires""]","[""跨拟合折分规格""]","[""results/multi_seed_rollout/fig2/fig2_pair_fused_stsp_state/seed_*/data/intermediates/crossfit_split_specs/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",crossfit_split_specs 的跨拟合折分规格已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-014,fig2.crossfit_interaction,fig2,DAG Task,metric/analysis,crossfit_interaction,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task crossfit_interaction,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs"",""fig2.state_bank"",""fig2.crossfit_split_specs""]","[""requires"",""requires"",""requires""]","[""跨拟合交互项度量""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,direct,bounded,"[""20-seed legacy bundle 含 network/fold/pair 三层 crossfit interaction 表及分析规格。""]",crossfit_interaction 的跨拟合交互项度量输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-015,fig2.crossfit_null_specs,fig2,DAG Task,producer,crossfit_null_specs,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task crossfit_null_specs,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs"",""fig2.crossfit_split_specs""]","[""requires"",""requires""]","[""跨拟合零模型规格""]","[""results/multi_seed_rollout/fig2/fig2_pair_fused_stsp_state/seed_*/data/intermediates/crossfit_null_specs/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",crossfit_null_specs 的跨拟合零模型规格已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-016,fig2.crossfit_null_calibration,fig2,DAG Task,metric/analysis,crossfit_null_calibration,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task crossfit_null_calibration,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs"",""fig2.state_bank"",""fig2.crossfit_split_specs"",""fig2.crossfit_null_specs""]","[""requires"",""requires"",""requires"",""requires""]","[""跨拟合零模型校准""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,direct,bounded,"[""20-seed legacy bundle 含 supp_crossfit_null_network_metrics.csv 与分析规格。""]",crossfit_null_calibration 的跨拟合零模型校准输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-017,fig2.morphology,fig2,DAG Task,metric/analysis,morphology,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task morphology,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank""]","[""requires""]","[""双项目保留与配对形态组织""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,direct,bounded,"[""legacy bundle 含双项目保留、配对特异性与层级形态表；当前 Fig.6 的部分父数据来自这些表。""]",morphology 的双项目保留与配对形态组织输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-018,fig2.linear_mixture,fig2,DAG Task,metric/analysis,linear_mixture,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task linear_mixture,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank""]","[""requires""]","[""线性混合与残差配对特异性""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,conflict,conflicted,"[""20 个 panel_d_linear_residual_pair_specificity_metrics.csv 仍在；另有 60 个按 task 输出模式应存在的 fit/null/model-comparison 文件缺失。""]",linear_mixture 仅能由现存残差特异性表形成部分任务结论；fit、additive-null 与 model-comparison 三类 20-seed 文件均与旧 manifest 脱节，故完整任务结果处于冲突状态。,每个 seed 的 summary/artifact manifest 仍登记 panel_d_linear_mixture_fit_metrics.csv、supp_additive_null_metrics.csv 与 supp_linear_mixture_model_comparison.csv，但当前 20×3 个文件均缺失；残差表仍在。,parent-direct:code+results+manifests
task-019,fig2.neutral_ping,fig2,DAG Task,metric/analysis,neutral_ping,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task neutral_ping,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank""]","[""requires""]","[""中性 ping 的真实 rollout 读出""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与中性 ping 的真实 rollout 读出对应的输出。""]",neutral_ping 的中性 ping 的真实 rollout 读出输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-020,fig2.partial_cue_mask_specs,fig2,DAG Task,metric/analysis,partial_cue_mask_specs,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task partial_cue_mask_specs,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs""]","[""requires""]","[""部分线索掩码规格""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,conflict,conflicted,"[""runtime artifact 为 0/20；20 个 weak_probe_masks.csv 仅留在旧 summary/manifest 登记中，磁盘文件缺失。""]",partial_cue_mask_specs 的旧登记仍在但 20 个 weak_probe_masks.csv 与独立 artifact 均缺失，因此当前不能验证该规格任务。,无独立 runtime artifact；summary/artifact manifest 登记的 20 个 weak_probe_masks.csv 当前全部缺失。,parent-direct:code+results+manifests
task-021,fig2.partial_cue,fig2,DAG Task,metric/analysis,partial_cue,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task partial_cue,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank"",""fig2.partial_cue_mask_specs""]","[""requires"",""requires""]","[""部分线索真实 rollout 恢复""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,conflict,conflicted,"[""20-seed legacy bundle 含 panel_f_partial_cue_metrics.csv 与 AUC 表。""]",partial_cue 的网络级 metrics/AUC 表仍可定位，但逐 trial readout 在全部 20 seeds 缺失；任务结论只能保留聚合层，不能声称原始读出完整。,聚合 metrics/AUC 表仍在，但 20 个 panel_f_partial_cue_trial_readout.csv 已与其登记 manifest 脱节。,parent-direct:code+results+manifests
task-022,fig2.ping_sweep,fig2,DAG Task,metric/analysis,ping_sweep,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task ping_sweep,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank""]","[""requires""]","[""中性 ping 参数扫描""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与中性 ping 参数扫描对应的输出。""]",ping_sweep 的中性 ping 参数扫描输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-023,fig2.completion_delay_boundary_bank,fig2,DAG Task,producer,completion_delay_boundary_bank,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task completion_delay_boundary_bank,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs""]","[""requires""]","[""完成任务的延迟边界状态库""]","[""results/multi_seed_rollout/fig2/fig2_pair_fused_stsp_state/seed_*/data/intermediates/completion_delay_boundary_bank/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",completion_delay_boundary_bank 的完成任务的延迟边界状态库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-024,fig2.completion_delay_mask_specs,fig2,DAG Task,metric/analysis,completion_delay_mask_specs,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task completion_delay_mask_specs,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.pair_trial_specs""]","[""requires""]","[""完成任务的延迟掩码规格""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,conflict,conflicted,"[""runtime artifact 为 0/20，未找到按现 task 身份持久化的 mask specs。""]",completion_delay_mask_specs 未形成当前可寻址的独立工件，因此其规格身份不可验证，即使下游 sweep 聚合表仍存在。,无独立 runtime artifact 或可直接归属的当前 mask-spec 文件，不能按 task_id 验证。,parent-direct:code+results+manifests
task-025,fig2.completion_delay_sweep,fig2,DAG Task,metric/analysis,completion_delay_sweep,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task completion_delay_sweep,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.completion_delay_boundary_bank"",""fig2.completion_delay_mask_specs""]","[""requires"",""requires""]","[""完成效应的延迟扫描""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,conflict,conflicted,"[""20-seed sweep metrics/contrast 仍在，但 20 个 trial-level readout 文件缺失。""]",completion_delay_sweep 的聚合 metrics 与 contrast 可定位，但 20 个逐 trial readout 缺失；任务仅有部分聚合结论，完整证据链冲突。,metrics 与 contrast 表仍在，但 20 个 supp_completion_delay_sweep_trial_readout.csv 已与 summary/artifact manifest 脱节。,parent-direct:code+results+manifests
task-026,fig2.supplement,fig2,DAG Task,metric/analysis,supplement,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task supplement,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank""]","[""requires""]","[""pair-state 补充度量""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与pair-state 补充度量对应的输出。""]",supplement 的pair-state 补充度量输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-027,fig2.fixed_b_specs,fig2,DAG Task,producer,fixed_b_specs,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task fixed_b_specs,src/experiments/paper_figures/fig2/schemas.py,[],[],"[""固定 B 确认性协议规格""]","[""results/multi_seed_rollout/fig2/fixed_b_mechanism_confirmatory/seed_*/data/intermediates/fixed_b_specs/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",fixed_b_specs 的固定 B 确认性协议规格已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-028,fig2.fixed_b_input_bank,fig2,DAG Task,producer,fixed_b_input_bank,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task fixed_b_input_bank,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.fixed_b_specs""]","[""requires""]","[""固定 B 输入编码库""]","[""results/multi_seed_rollout/fig2/fixed_b_mechanism_confirmatory/seed_*/data/intermediates/fixed_b_input_bank/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",fixed_b_input_bank 的固定 B 输入编码库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-029,fig2.fixed_b_history_bank,fig2,DAG Task,producer,fixed_b_history_bank,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task fixed_b_history_bank,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.fixed_b_specs"",""fig2.fixed_b_input_bank""]","[""requires"",""requires""]","[""固定 B 历史状态库""]","[""results/multi_seed_rollout/fig2/fixed_b_mechanism_confirmatory/seed_*/data/intermediates/fixed_b_history_bank/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",fixed_b_history_bank 的固定 B 历史状态库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-030,fig2.fixed_b_protocol,fig2,DAG Task,metric/analysis,fixed_b_protocol,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task fixed_b_protocol,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.fixed_b_specs"",""fig2.fixed_b_input_bank"",""fig2.fixed_b_history_bank""]","[""requires"",""requires"",""requires""]","[""冻结的 fixed-B 协议物化""]","[""results/multi_seed_rollout/fig2/fixed_b_mechanism_confirmatory/frozen_protocol/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与冻结的 fixed-B 协议物化对应的输出。""]",fixed_b_protocol 的冻结的 fixed-B 协议物化输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-031,fig2.fixed_b_replay_bank,fig2,DAG Task,producer,fixed_b_replay_bank,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task fixed_b_replay_bank,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.fixed_b_specs"",""fig2.fixed_b_input_bank"",""fig2.fixed_b_history_bank""]","[""requires"",""requires"",""requires""]","[""固定 B 事件重放库""]","[""results/multi_seed_rollout/fig2/fixed_b_mechanism_confirmatory/seed_*/data/intermediates/fixed_b_replay_bank/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",fixed_b_replay_bank 的固定 B 事件重放库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-032,fig2.fixed_b_rollout_bank,fig2,DAG Task,producer,fixed_b_rollout_bank,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task fixed_b_rollout_bank,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.fixed_b_specs"",""fig2.fixed_b_input_bank"",""fig2.fixed_b_history_bank"",""fig2.fixed_b_replay_bank""]","[""requires"",""requires"",""requires"",""requires""]","[""固定 B 条件 rollout 库""]","[""results/multi_seed_rollout/fig2/fixed_b_mechanism_confirmatory/seed_*/data/intermediates/fixed_b_rollout_bank/""]",20,active-parent,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",fixed_b_rollout_bank 的固定 B 条件 rollout 库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
